"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"30",2.10721876875,0.928064879677,0.32055679728,2.55351690875,0.663267360493,0.18080907704,0.52830941765,0.1341682255,0.76890757008,2.04555813375,0.456792700123,0.022098594696,2.736304085,0.524019225907,0.08944224648,2.999763174,0.110412072343,0.09158723768,1,0.956004432566785,NA,NA,0.0468208868966168,NA,NA,0.0468208868966168,0.126040905587493,0,22067.5028418091,0.0002370294363,65481090.2533626,1e-04,1,0.109493017196655,190.619144916534,"1_165_10",1,165,10,1814,TRUE,TRUE,4,0.0426406227127455,3,FALSE
"31",2.20536804475,0.79417710514,0.32557864304,2.68640931675,0.775830559681,0.23241084968,0.5417155631,0.133113506131,0.78418967632,1.93930774375,0.461436428476,0.055586258768,2.68402929075,0.578101296268,0.029568566192,2.5654794425,0.111570156028,0.09741891048,1,0.956122172384382,NA,NA,0.0467581944917509,NA,NA,0.0467581944917509,0.104973461937347,0,23122.7574125148,0.0002531464573,65481090.2533626,1e-04,1,0.0863280296325684,191.065804958344,"1_166_3",1,166,3,1818,FALSE,TRUE,2,0.0348532864547768,3,FALSE
"32",1.93953003975,0.659482834231,0.24042553336,2.593796352,0.781361617312,0.28435745008,0.53331542405,0.136598245741,0.78930208872,2.0441324175,0.444641351419,0.033693079792,2.6704382925,0.500078305585,0.063715374,1.6633291045,0.156794163274,0.10101988712,1,0.953400314818772,NA,NA,0.0483408399955503,NA,NA,0.0483408399955503,0.037278936942286,0,32782.0803429043,0.000400674376,65481090.2533626,1e-04,1,0.107192039489746,191.372963905334,"1_166_6",1,166,6,1821,FALSE,TRUE,4,0.0104900848085747,3,FALSE
"33",1.98736012325,0.700788221497,0.28375691128,2.380421874,0.670350444094,0.37831504976,0.5405547233,0.0351951126724,0.70925105336,1.98658940525,0.409717678591,0.09888748656,2.39178270725,0.541287594739,0.5831981804,2.96760379675,0.119521056997,0.0872080992,1,0.955793886877998,NA,NA,0.0469327864643453,NA,NA,0.0469327864643453,0.101794633351059,0,13881.5117998205,0.0001120038802,65481090.2533626,1e-04,1,0.0862860679626465,191.472325086594,"1_166_7",1,166,7,1822,FALSE,TRUE,4,0.0336873237699489,3,FALSE
"34",1.879442679,0.843894231148,0.33515890304,2.98401269575,0.825269725765,0.071879841456,0.527484292825,0.0478432523062,0.76186455784,1.62218214025,0.437418038674,0.012031036952,2.91142924975,0.476907971068,0.2091551044,2.4829272025,0.136264343095,0.12570017424,1,0.954455548983253,NA,NA,0.0477903748626392,NA,NA,0.0477903748626392,0.0472006629428959,0,27060.2008308076,0.0003132834707,65481090.2533626,1e-04,1,0.0755360126495361,193.410840988159,"1_168_2",1,168,2,1839,FALSE,TRUE,2,0.0137509829008841,3,FALSE
"35",2.20148691075,0.565298038108,0.32557864304,2.68640931675,0.775830559681,0.23241084968,0.5417155631,0.133113506131,0.78418967632,1.93930774375,0.461436428476,0.055586258768,2.68402929075,0.578101296268,0.029568566192,2.5654794425,0.111570156028,0.09741891048,1,0.955246402350977,NA,NA,0.0473736315366643,NA,NA,0.0473736315366643,0.0488436787812091,0,23122.7574125148,0.0002531464573,65481090.2533626,1e-04,1,0.0895469188690186,194.348866939545,"1_168_11",1,168,11,1848,FALSE,TRUE,1,0.0142246304000271,3,TRUE
"36",2.137950886,0.672850467235,0.21294666448,2.922233713,0.781361617312,0.28435745008,0.53331542405,0.136598245741,0.78090551296,2.13435048675,0.424206964666,0.102346452,2.1653429195,0.286966044487,0.135696402,2.701225884,0.114974908687,0.10560709248,1,0.956340495956735,NA,NA,0.0466417216984627,NA,NA,0.0466417216984627,0.130125552855854,0,15447.0959234949,0.0001359152215,65481090.2533626,1e-04,1,0.0840048789978027,194.689162969589,"1_169_3",1,169,3,1851,TRUE,TRUE,2,0.0441448341835198,3,FALSE
"37",1.9113706925,0.849643588729,0.36690562056,2.9147291715,0.97520818438,0.2913233116,0.5930206375,0.0476733417247,0.7315260808,2.518827471,0.436029199156,0.056554723024,2.76920753975,0.353237706757,0.20097368368,2.56449864675,0.138305798236,0.023500501728,1,0.955254920270136,NA,NA,0.0472180249619203,NA,NA,0.0472180249619203,0.0832034520741516,0,23983.6870777613,0.0002662955323,65481090.2533626,1e-04,1,0.0857400894165039,194.965421915054,"1_169_6",1,169,6,1854,FALSE,TRUE,4,0.0268464499542971,3,FALSE
"38",2.289202114,0.676033406038,0.29052837832,2.499617177,0.890706726361,0.24380138864,0.553275476025,0.127857083509,0.77006740616,2.2220625945,0.454843296865,0.07249671852,2.11218650275,0.748550833768,0.4696718408,2.885026527,0.0867653132554,0.10093101848,1,0.956075433817962,NA,NA,0.0467830912270007,NA,NA,0.0467830912270007,0.127425782491891,0,26433.3644567496,0.0003037097287,65481090.2533626,1e-04,1,0.0886390209197998,195.696310043335,"1_170_2",1,170,2,1861,FALSE,TRUE,3,0.0431510419371937,3,FALSE
"39",2.01384292425,0.950911101658,0.4620047688,2.87571904675,0.813856966363,0.21616196976,0.5418218355,0.15914521468,0.7784240392,1.903514939,0.430798531186,0.041969735456,2.58007868425,0.476072137432,0.29611074848,2.154441042,0.151022970253,0.075963614984,1,0.955802389222153,NA,NA,0.0469282728590594,NA,NA,0.0469282728590594,0.0949944535712853,0,6984.78136710714,6.669345481e-06,65481090.2533626,1e-04,1,0.0884850025177002,195.794900894165,"1_170_3",1,170,3,1862,FALSE,TRUE,3,0.0311750252814945,3,FALSE
"40",2.038179356,0.854588337571,0.313175808,2.98401269575,0.825269725765,0.071879841456,0.527484292825,0.0478432523062,0.76186455784,1.62218214025,0.437418038674,0.012031036952,2.91142924975,0.306418162249,0.2667399268,2.686755374,0.1028089394551,0.12936993856,1,0.956215395499688,NA,NA,0.0467084966999869,NA,NA,0.0467084966999869,0.110260560061367,0,13192.2132952802,0.0001014761471,65481090.2533626,1e-04,1,0.0950489044189453,196.51296210289,"1_170_10",1,170,10,1869,FALSE,TRUE,1,0.0368052605010938,3,FALSE
"41",1.95240041275,0.75552400648,0.11715804448,2.714535199,0.816488104015,0.1143753632,0.528650519075,0.0655942509892,0.75895548824,2.13435048675,0.424206964666,0.102346452,2.1653429195,0.286966044487,0.135696402,2.701225884,0.114974908687,0.10560709248,1,0.956249726273914,NA,NA,0.0466901814345735,NA,NA,0.0466901814345735,0.13793329176684,0,15447.0959234949,0.0001359152215,65481090.2533626,1e-04,1,0.0809700489044189,197.756032943726,"1_171_11",1,171,11,1881,TRUE,TRUE,3,0.0470314956937283,3,FALSE
"42",1.9067282995,0.603066856987,0.25563805016,1.90858446475,0.647771706748,0.404715356,0.572234141075,0.181004241529,0.78746042536,1.74361622625,0.404355280726,0.092500512,2.23848733,0.535603540726,0.33669928752,2.88009588075,0.131641770646,0.0258106872,1,0.95536527017223,NA,NA,0.0473106763238551,NA,NA,0.0473106763238551,0.0753251160241643,0,8605.34259445657,3.142035823e-05,65481090.2533626,1e-04,1,0.0826969146728516,199.482439041138,"1_173_6",1,173,6,1898,FALSE,TRUE,4,0.0239523876494919,3,FALSE
"43",2.038179356,0.854588337571,0.313175808,2.98401269575,0.825269725765,0.1312983184,0.5210507359675,0.0328281076936,0.76379150624,1.4843138225,0.451240294627,0.012031036952,2.91142924975,0.306418162249,0.2667399268,2.686755374,0.1028089394551,0.12936993856,1,0.956173616783711,NA,NA,0.0467307757151368,NA,NA,0.0467307757151368,0.0995366379258968,0,13192.2132952802,0.0001014761471,65481090.2533626,1e-04,1,0.107010126113892,199.59880900383,"1_173_7",1,173,7,1899,FALSE,TRUE,1,0.0328431932995598,3,FALSE
"44",1.9067282995,0.603066856987,0.25563805016,1.90858446475,0.647771706748,0.404715356,0.572234141075,0.181004241529,0.78746042536,1.74361622625,0.441863291827,0.028124931968,2.77684086575,0.352255237885,0.28073179896,2.72542347525,0.1085755057012,0.10865808824,1,0.95608602479136,NA,NA,0.0469271390054269,NA,NA,0.0469271390054269,0.0685973163850203,0,8605.34259445657,3.142035823e-05,65481090.2533626,1e-04,1,0.0831339359283447,202.583875894547,"1_176_3",1,176,3,1928,FALSE,TRUE,1,0.0214265923970954,3,FALSE
