"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"62","2_161_3",0,0.0300897286348623,0.0487997599753746,0.0487997599753746,0.058058484362448,0.597031110789803,0.997669790288204,0.372727095782499,0.160878606509536,0.112279585464764,0.944501018123242,0.513654153287282,0.589227301054372,0.741847846822695,0.268581292306217,0.870046180115629,0.355175034308045,0.429246085431274,0.292570370621777,0.455896071511953,0.894785584727001,0.0609928900003228,4,54,FALSE
"63","2_162_4",0,0.0315398461422604,0.0485744464819111,0.0485744464819111,0.437414360431255,0.578683987351163,0.710234214457527,0.324702910001513,0.198931050388007,0.175156036294353,0.853193435396456,0.607265711141758,0.0499153630614035,0.878987095134358,0.396522572311785,0.66767086339823,0.412274418392657,0.347333562786239,0.401480670654753,0.484436187630867,0.516332757300485,0.140803134391134,4,54,FALSE
"64","2_166_5",0,0.0499556760402078,0.0478534625886409,0.0478534625886409,0.990902211881902,0.531569419265191,0.97090563188045,0.237033261214057,0.199403884878455,0.101886137744479,0.899425202915051,0.865142473458516,0.137091105639302,0.394536429091819,0.518268423961319,0.935926716984608,0.89107288364028,0.355762495525766,0.0994774046181484,0.553597840369332,0.68004658377433,0.0850426393795364,2,20,FALSE
"65","2_167_9",0,0.0315828652257463,0.0485745853418247,0.0485745853418247,0.437414360431255,0.578683987351163,0.710234214457527,0.324702910001513,0.220899376351738,0.175156036294353,0.853193435396456,0.607265711141758,0.0499153630614035,0.878987095134358,0.396522572311785,0.66767086339823,0.412274418392657,0.347333562786239,0.401480670654753,0.484436187630867,0.516332757300485,0.140803134391134,4,54,FALSE
"66","2_168_11",0,0.0398434813164191,0.0481335434078029,0.0481335434078029,0.503870515857652,0.524111565936283,0.809202400013125,0.282187600438964,0.260912935650707,0.151597787504026,0.928173272177047,0.172454556814008,0.237686952773991,0.820809671833621,0.383180077346713,0.887400484459104,0.857867384307589,0.305320897138283,0.0627893214365833,0.469266579373793,0.576052679466262,0.0763383231096318,4,54,FALSE
"67","2_169_2",0,0.102323874760334,0.0468001064729713,0.0468001064729713,0.990902211881902,0.531569419265191,0.855051668581373,0.275997549564038,0.199403884878455,0.118499697693743,0.899425202915051,0.865142473458516,0.137091105639302,0.609847836269998,0.518268423961319,0.935926716984608,0.89107288364028,0.355762495525766,0.0994774046181484,0.522859328079476,0.68004658377433,0.0850426393795364,2,20,FALSE
"68","2_175_4",0,0.0200316520439801,0.0492162189148606,0.0492162189148606,0.0197607104274314,0.660986732795574,0.505729049565431,0.339888906654933,0.0447831656437696,0.148489705111995,1,0,0.494177417940246,0.860884140464225,0.995030784859245,0.907214528466677,0.363135543665172,0.0872523829214374,0.113095778041411,0.985201931751871,0.66064889776068,0.0825029129957564,4,54,FALSE
"69","2_176_4",0,0.119696907476389,0.046514449233855,0.046514449233855,0.964304193476806,0.4929479775946,0.813473780084334,0.322403652019623,0.431007887447167,0.238230164689487,0.808976480175953,0.999682942285023,0.0839938138572175,0.54971453624319,0.802076694975503,0.812062188620771,0.863240566424122,0.453460863343981,0.128590453844869,0.445090459508392,0.385370835526567,0.0842959641202624,2,20,FALSE
"70","2_176_7",0,0.0366393346264039,0.0481570014928202,0.0481570014928202,0.789143137230579,0.487218580903439,0.84084693623809,0.40259280708939,0.172827332918042,0.19748272429766,0.865412774573873,0.765322167813596,0.573892706137472,0.63702872146642,0.546875737073619,0.90269591590241,0.820066710377341,0.350859723846949,0.0882767731102572,0.605564575215233,0.700634652294726,0.0899378392312836,2,20,FALSE
"71","2_177_1",0,0.0403347252709454,0.0479297207995148,0.0479297207995148,0.819101583931165,0.42846496040882,0.896499422463808,0.0784544329734294,0.0167132879899068,0.0935834094738623,0.948262251081289,0.168799402155956,0.382280353111311,0.076335508574513,0.810135423912004,0.970197517406785,0.925831238335342,0.247588722810324,0.0261341572900834,0.504134681553174,0.60163428960996,0.0341165229072446,2,20,FALSE
